2676,,,,,,,,
77,r      ,77,0.564,4.604,2.961,0.0179,-0.0064,0.0476
78,r      ,78,1.499,2.337,1.641,0.2946,-0.1338,0.0317
79,r      ,79,4.602,3.686,2.16,-0.0072,0.0212,0.0378
80,r      ,80,4.513,3.18,4.663,0.257,0.1317,-0.1213
81,r      ,81,0.292,0.257,4.765,0.0452,0.1125,-0.0113
82,r      ,82,2.152,3.024,3.724,-0.2968,-0.0347,0.0671
83,r      ,83,1.419,3.137,2.118,-0.1409,-0.4103,0.0849
84,r      ,84,3.473,3.676,0.789,0.1182,-0.1078,-0.1419
85,r      ,85,0.879,3.322,2.997,-0.138,0.1642,0.2465
86,r      ,86,1.715,0.127,1.662,0.0262,-0.061,-0.2573
87,r      ,87,2.24,2.5,4.394,-0.0627,0.4743,0.0572
88,r      ,88,3.995,0.127,1.832,-0.3453,-0.2837,-0.3521
89,r      ,89,4.307,1.743,3.6,-0.0667,-0.0913,-0.2604
90,r      ,90,2.591,0.853,0.221,0.1313,0.0608,0.1934
91,r      ,91,1.71,2.79,4.531,-0.2481,-0.1346,-0.0846
92,r      ,92,0.387,3.949,1.798,-0.2612,-0.022,0.2263
93,r      ,93,1.714,4.053,4.69,0.3265,-0.1145,0.2333
94,r      ,94,1.433,1.722,3.771,0.0164,-0.4195,0.0249
95,r      ,95,3.825,3.004,2.611,-0.041,0.2757,0.309
96,r      ,96,0.283,3.296,2.823,0.0077,0.2198,-0.1595
97,r      ,97,2.858,4.685,0.526,0.3573,0.1421,0.187
98,r      ,98,0.762,1.093,0.18,0.1206,0.1651,-0.2223
99,r      ,99,2.441,0.718,1.299,-0.0843,0.1365,-0.3037
100,r      ,100,4.47,4.841,3.744,-0.0619,0.0765,-0.308
101,r      ,101,4.976,2.765,3.05,0.031,-0.1551,0.2881
102,r      ,102,3.78,3.326,0.576,0.0172,0.1715,0.0325
103,r      ,103,2.36,0.133,4.108,0.1359,0.0805,-0.1151
104,r      ,104,1.409,2.517,0.122,-0.0552,0.2691,-0.0459
105,r      ,105,1.605,3.386,3.767,0.0113,-0.0216,0.0546
106,r      ,106,3.85,1.793,1.728,0.0398,-0.0206,0.099
107,r      ,107,2.835,2.147,1.679,0.1017,0.0298,0.0086
108,r      ,108,0.374,0.652,2.299,0.0849,0.1809,-0.2068
109,r      ,109,0.59,1.55,0.764,0.1751,0.3347,0.2189
110,r      ,110,1.109,3.042,2.296,-0.2656,0.0126,-0.1549
111,r      ,111,4.678,2.047,2.536,-0.1055,0.1062,-0.2225
112,r      ,112,2.626,4.926,4.429,-0.5089,-0.1344,-0.0345
113,r      ,113,3.63,0.541,4.078,0.1208,0.0556,0.1039
114,r      ,114,2.758,3.405,1.071,-0.0966,0.0128,0.1845
115,r      ,115,0.905,0.099,4.005,-0.0885,-0.0255,-0.0437
116,r      ,116,3.46,4.09,4.922,-0.3507,0.1395,0.1019
117,r      ,117,0.161,4.026,4.275,0.1551,0.0786,-0.0334
118,r      ,118,0.125,3.113,1.113,-0.042,-0.028,-0.0023
119,r      ,119,0.294,0.407,3.111,0.117,-0.1579,-0.1804
120,r      ,120,2.409,0.123,4.616,-0.0364,0.2037,0.0047
121,r      ,121,0.794,2.751,0.124,0.1454,-0.0315,-0.2026
122,r      ,122,1.024,0.215,2.843,0.2215,0.0556,-0.2041
123,r      ,123,4.034,4.948,1.303,-0.2436,0.0721,-0.2585
124,r      ,124,2.256,4.737,0.905,0.3551,0.0969,-0.0273
125,r      ,125,3.585,4.329,1.593,0.2257,-0.0201,0.0512
126,r      ,126,4.683,2.848,4.547,-0.1076,-0.3185,0.1803
127,r      ,127,1.184,4.83,0.832,-0.0273,0.1016,-0.1671
128,r      ,128,0.635,0.492,2.016,-0.3924,0.2152,0.1769
129,r      ,129,4.503,2.034,1.61,-0.1647,-0.2338,0.0761
130,r      ,130,1.805,3.426,4.461,-0.1093,0.0977,-0.0908
131,r      ,131,0.7,4.53,0.648,-0.3313,0.034,-0.3505
132,r      ,132,1.756,0.922,3.194,-0.1493,-0.0142,0.0846
133,r      ,133,0.196,0.474,0.37,-0.1968,-0.0051,0.0444
134,r      ,134,4.349,3.608,1.521,0.0676,-0.0924,0.3164
135,r      ,135,3.567,1.99,0.665,0.3738,-0.063,-0.0911
136,r      ,136,2.053,2.639,4.027,-0.0483,-0.043,0.1302
137,r      ,137,1.765,1.144,1.587,-0.0916,0.0793,-0.1142
138,r      ,138,2.481,0.179,4.946,-0.016,-0.2809,0.1716
139,r      ,139,2.2,3.911,0.618,0.063,0.1741,0.2063
140,r      ,140,2.416,2.768,4.886,-0.0876,0.1057,-0.0474
141,r      ,141,2.911,2.686,4.436,0.1634,0.0655,0.0415
142,r      ,142,1.1,0.409,0.674,-0.0387,0.0743,0.1755
143,r      ,143,4.845,0.579,0.535,0.066,-0.2856,-0.2582
144,r      ,144,4.839,4.09,1.002,-0.1743,0.1266,-0.0445
145,r      ,145,0.728,3.319,3.532,0.1349,0.3514,-0.1043
146,r      ,146,2.989,0.925,2.413,-0.0278,-0.1931,-0.0964
147,r      ,147,4.501,3.664,4.55,-0.2736,0.0434,-0.2404
148,r      ,148,3.604,0.798,3.23,0.1784,-0.1805,-0.132
149,r      ,149,2.4,1.729,4.996,0.0644,-0.0424,-0.0162
150,r      ,150,4.229,0.953,1.216,-0.0023,-0.0246,0.0134
151,r      ,151,1.716,2.689,0.301,-0.0522,0.2007,0.0953
152,r      ,152,1.705,1.543,3.91,0.3461,0.2406,-0.0619
153,r      ,153,4.659,2.664,2.308,0.0354,-0.1584,-0.3948
154,r      ,154,1.835,2.822,3.182,-0.1654,0.0344,0.2416
